Method;Start_X0;Start_X1;Opt_X0;Opt_X1;Func_Value;Func_Calls;Step_Size
HJ;-0.249794;0.556393;-3.58597e-07;0.774715;0,619837;129;0.11
HJ;0.732649;0.489722;0.774716;0.774716;1,23967;113;0.11
HJ;-0.449301;0.73847;3.0931e-07;0.774716;0,619837;124;0.11
HJ;-0.533989;-0.912435;-0.774716;-0.774715;1,23967;121;0.11
HJ;0.228551;-0.808403;-1.3185e-07;-0.774716;0,619837;133;0.11
HJ;-0.945996;0.219017;-0.774716;-1.29057e-07;0,619837;118;0.11
HJ;0.519593;0.579126;0.774716;0.774716;1,23967;139;0.11
HJ;0.870744;-0.0145601;0.774716;-2.70546e-07;0,619837;126;0.11
HJ;-0.391461;-0.910081;1.35746e-07;-0.774716;0,619837;128;0.11
HJ;0.337017;-0.888664;2.72619e-07;-0.774716;0,619837;145;0.11
HJ;0.125259;0.931148;2.03306e-07;0.774716;0,619837;143;0.11
HJ;-0.303422;0.408171;-1.9419e-07;0.774716;0,619837;142;0.11
HJ;0.108144;-0.0811;-7.24668e-08;-3.34947e-07;3,74E-12;133;0.11
HJ;-0.0155029;-0.377353;6.06982e-08;4.25153e-08;1,75E-13;139;0.11
HJ;-0.0422699;-0.738684;-3.34418e-08;-0.774716;0,619837;133;0.11
HJ;-0.743953;-0.809848;-0.774716;-0.774715;1,23967;124;0.11
HJ;0.0490848;-0.0995207;3.25297e-08;2.767e-07;2,47E-12;105;0.11
HJ;-0.83105;0.560494;-0.774716;0.774716;1,23967;124;0.11
HJ;0.862718;-0.192857;0.774716;-7.21902e-07;0,619837;124;0.11
HJ;0.0867698;-0.345223;-1.60917e-07;7.36576e-07;1,81E-11;148;0.11
HJ;-0.0678615;-0.99051;-1.77496e-07;-0.774715;0,619837;123;0.11
HJ;0.856154;0.62871;0.774716;0.774716;1,23967;158;0.11
HJ;-0.579654;0.165765;-0.774715;2.68732e-07;0,619837;129;0.11
HJ;-0.613452;-0.900444;-0.774716;-0.774716;1,23967;133;0.11
HJ;-0.829114;0.137985;-0.774716;6.48556e-08;0,619837;134;0.11
HJ;0.604649;0.746954;0.774716;0.774715;1,23967;117;0.11
HJ;-0.300912;-0.385146;-6.10257e-07;7.5904e-07;3,02E-11;139;0.11
HJ;0.479936;-0.158346;0.774715;1.81561e-08;0,619837;114;0.11
HJ;-0.797115;-0.548555;-0.774716;-0.774716;1,23967;131;0.11
HJ;-0.698264;0.817863;-0.774716;0.774716;1,23967;131;0.11
HJ;0.678066;0.14445;0.774715;6.00196e-07;0,619837;136;0.11
HJ;0.541765;0.665304;0.774716;0.774715;1,23967;124;0.11
HJ;0.673249;-0.251306;0.774715;1.13706e-07;0,619837;127;0.11
HJ;-0.258387;-0.277054;-2.55318e-07;-1.05317e-07;2,43E-12;145;0.11
HJ;0.74849;0.0660004;0.774716;-1.76071e-08;0,619837;119;0.11
HJ;0.546522;0.47718;0.774716;0.774716;1,23967;145;0.11
HJ;0.929578;-0.050678;0.774716;-5.3137e-07;0,619837;133;0.11
HJ;0.394226;0.111891;0.774716;1.81371e-07;0,619837;115;0.11
HJ;0.61026;0.403201;0.774716;0.774716;1,23967;119;0.11
HJ;0.0900866;-0.718505;-7.31895e-07;-0.774716;0,619837;122;0.11
HJ;0.294283;0.65799;2.07026e-07;0.774715;0,619837;152;0.11
HJ;0.631756;0.983983;0.774716;0.774716;1,23967;131;0.11
HJ;0.442856;-0.791186;0.774716;-0.774715;1,23967;126;0.11
HJ;0.468607;0.585573;0.774715;0.774715;1,23967;129;0.11
HJ;-0.966053;-0.202321;-0.774716;-1.35051e-07;0,619837;124;0.11
HJ;0.103822;0.00462799;1.61494e-08;2.48634e-07;1,98E-12;128;0.11
HJ;-0.404094;0.802374;-7.23836e-07;0.774716;0,619837;129;0.11
HJ;0.347301;0.960214;1.16459e-07;0.774716;0,619837;155;0.11
HJ;0.71363;0.599207;0.774716;0.774716;1,23967;114;0.11
HJ;0.78478;0.613966;0.774715;0.774716;1,23967;115;0.11
HJ;0.616114;0.248634;0.774716;3.12963e-07;0,619837;127;0.11
HJ;-0.228887;0.363765;-6.46686e-07;0.774715;0,619837;126;0.11
HJ;0.82926;0.954781;0.774715;0.774716;1,23967;135;0.11
HJ;0.252653;-0.727635;-3.74896e-07;-0.774715;0,619837;130;0.11
