t;alpha;omega
0;0;0
0.1;0.00277473;0.0551629
0.2;0.0109505;0.10787
0.3;0.0242374;0.157244
0.4;0.0422617;0.202495
0.5;0.0645753;0.242924
0.6;0.0906659;0.277944
0.7;0.119968;0.307085
0.8;0.151875;0.329998
0.9;0.185752;0.346467
1;0.22095;0.356405
1.1;0.256817;0.35985
1.2;0.292709;0.356965
1.3;0.328007;0.348025
1.4;0.362124;0.333404
1.5;0.394514;0.313564
1.6;0.424681;0.289038
1.7;0.452185;0.260414
1.8;0.476648;0.228321
1.9;0.497755;0.193412
2;0.515259;0.156355
2.1;0.528977;0.117818
2.2;0.538795;0.078462
2.3;0.544663;0.0389314
2.4;0.546596;-0.000150581
2.5;0.544668;-0.0381884
2.6;0.539012;-0.0746184
2.7;0.529816;-0.108914
2.8;0.517317;-0.140589
2.9;0.5018;-0.169203
3;0.483592;-0.194365
3.1;0.463053;-0.215743
3.2;0.440579;-0.233061
3.3;0.416584;-0.246111
3.4;0.391503;-0.254754
3.5;0.365782;-0.258926
3.6;0.339867;-0.258636
3.7;0.314201;-0.253972
3.8;0.289213;-0.245095
3.9;0.265315;-0.23224
4;0.242888;-0.21571
4.1;0.222283;-0.195869
4.2;0.203811;-0.173136
4.3;0.187737;-0.147974
4.4;0.174281;-0.120881
4.5;0.163608;-0.0923808
4.6;0.155833;-0.0630098
4.7;0.151017;-0.0333085
4.8;0.149165;-0.00381014
4.9;0.150231;0.0249692
5;0.154118;0.0525399
5.1;0.160683;0.078447
5.2;0.169738;0.102278
5.3;0.181058;0.123671
5.4;0.194381;0.142317
5.5;0.209421;0.157966
5.6;0.225868;0.170432
5.7;0.243397;0.179591
5.8;0.261674;0.185382
5.9;0.280361;0.187809
6;0.299125;0.186934
6.1;0.317641;0.182876
6.2;0.3356;0.175807
6.3;0.35271;0.165942
6.4;0.368704;0.153541
6.5;0.383343;0.138892
6.6;0.396418;0.122315
6.7;0.407753;0.104147
6.8;0.417206;0.084739
6.9;0.424671;0.0644517
7;0.430079;0.0436455
7.1;0.433395;0.0226781
7.2;0.434621;0.00189821
7.3;0.433792;-0.0183588
7.4;0.430977;-0.0377752
7.5;0.426275;-0.0560544
7.6;0.419813;-0.0729255
7.7;0.411745;-0.0881456
7.8;0.402246;-0.101504
7.9;0.391512;-0.112822
8;0.379754;-0.12196
8.1;0.367196;-0.128816
8.2;0.35407;-0.133325
8.3;0.34061;-0.135466
8.4;0.327055;-0.135254
8.5;0.313636;-0.132747
8.6;0.300579;-0.128039
8.7;0.288097;-0.121262
8.8;0.27639;-0.11258
8.9;0.265639;-0.102187
9;0.256003;-0.0903027
9.1;0.24762;-0.0771697
9.2;0.240602;-0.0630461
9.3;0.235034;-0.048202
9.4;0.230976;-0.0329138
9.5;0.228457;-0.0174594
9.6;0.227481;-0.00211228
9.7;0.228022;0.0128625
9.8;0.230032;0.0272137
9.9;0.233436;0.0407077
10;0.238138;0.0531324
10.1;0.244021;0.064301
10.2;0.250951;0.0740537
10.3;0.25878;0.0822609
10.4;0.267348;0.0888237
10.5;0.276488;0.0936756
10.6;0.286025;0.0967819
10.7;0.295786;0.0981397
10.8;0.305596;0.0977765
10.9;0.315286;0.0957491
11;0.324693;0.092141
11.1;0.333665;0.0870605
11.2;0.34206;0.0806372
11.3;0.349752;0.0730196
11.4;0.35663;0.0643716
11.5;0.362598;0.0548692
11.6;0.367581;0.0446972
11.7;0.371521;0.0340458
11.8;0.374381;0.0231074
11.9;0.37614;0.0120736
12;0.376798;0.00113169
12.1;0.376375;-0.00953742
12.2;0.374906;-0.0197624
12.3;0.372443;-0.0293839
12.4;0.369054;-0.0382562
12.5;0.364821;-0.0462499
12.6;0.359837;-0.0532532
12.7;0.354206;-0.0591732
12.8;0.348041;-0.0639373
12.9;0.341459;-0.0674937
13;0.334584;-0.0698122
13.1;0.327538;-0.0708839
13.2;0.320448;-0.0707213
13.3;0.313434;-0.0693575
13.4;0.306615;-0.0668453
13.5;0.300101;-0.0632561
13.6;0.293997;-0.0586779
13.7;0.288395;-0.0532141
13.8;0.28338;-0.0469806
13.9;0.279021;-0.0401041
14;0.275376;-0.0327195
14.1;0.272489;-0.024967
14.2;0.27039;-0.01699
14.3;0.269094;-0.00893208
14.4;0.268601;-0.000934579
14.5;0.2689;0.00686588
14.6;0.269964;0.0143397
14.7;0.271753;0.0213665
14.8;0.274218;0.0278368
14.9;0.277299;0.0336541
15;0.280925;0.0387358
15.1;0.285019;0.0430144
15.2;0.289499;0.0464384
15.3;0.294277;0.0489726
15.4;0.299263;0.0505983
15.5;0.304366;0.0513128
15.6;0.309496;0.0511295
15.7;0.314563;0.0500767
15.8;0.319483;0.0481969
15.9;0.324177;0.0455453
16;0.328569;0.0421889
16.1;0.332594;0.0382046
16.2;0.336192;0.0336776
16.3;0.339314;0.0286999
16.4;0.34192;0.0233685
16.5;0.343979;0.0177835
16.6;0.345472;0.0120464
16.7;0.346387;0.0062585
16.8;0.346725;0.000519043
16.9;0.346496;-0.00507618
17;0.345718;-0.0104364
17.1;0.344419;-0.0154772
17.2;0.342635;-0.0201217
17.3;0.34041;-0.0243018
17.4;0.337792;-0.0279586
17.5;0.334837;-0.0310439
17.6;0.331604;-0.03352
17.7;0.328155;-0.0353607
17.8;0.324554;-0.0365509
17.9;0.320866;-0.037087
18;0.317158;-0.0369768
18.1;0.313492;-0.0362385
18.2;0.30993;-0.034901
18.3;0.30653;-0.0330023
18.4;0.303347;-0.0305894
18.5;0.300428;-0.0277168
18.6;0.297817;-0.0244456
18.7;0.29555;-0.0208422
18.8;0.293657;-0.0169771
18.9;0.292161;-0.0129234
19;0.291076;-0.00875565
19.1;0.290411;-0.00454856
19.2;0.290165;-0.000375427
19.3;0.290332;0.00369291
19.4;0.290898;0.0075893
19.5;0.291842;0.0112514
19.6;0.293139;0.0146224
19.7;0.294755;0.0176525
19.8;0.296656;0.0202986
19.9;0.298801;0.0225258
20;0.301147;0.0243073
20.1;0.303647;0.0256246
20.2;0.306256;0.0264679
20.3;0.308925;0.0268356
20.4;0.311607;0.0267346
20.5;0.314257;0.0261793
20.6;0.316829;0.0251918
20.7;0.319282;0.0238007
20.8;0.321576;0.0220408
20.9;0.323679;0.0199523
21;0.325557;0.0175796
21.1;0.327187;0.014971
21.2;0.328545;0.0121772
21.3;0.329618;0.00925079
21.4;0.330393;0.00624516
21.5;0.330866;0.00321352
21.6;0.331037;0.000208088
21.7;0.33091;-0.00272076
21.8;0.330497;-0.00552529
21.9;0.329811;-0.00816115
22;0.328871;-0.010588
22.1;0.327701;-0.0127702
22.2;0.326326;-0.0146769
22.3;0.324776;-0.0162831
22.4;0.323081;-0.0175692
22.5;0.321273;-0.0185218
22.6;0.319388;-0.0191333
22.7;0.317458;-0.0194023
22.8;0.315518;-0.0193331
22.9;0.313602;-0.0189356
23;0.311742;-0.0182254
23.1;0.309967;-0.0172226
23.2;0.308306;-0.015952
23.3;0.306785;-0.0144425
23.4;0.305425;-0.012726
23.5;0.304245;-0.0108374
23.6;0.303262;-0.00881351
23.7;0.302486;-0.00669262
23.8;0.301925;-0.00451359
23.9;0.301584;-0.00231531
24;0.301461;-0.00013594
24.1;0.301555;0.00198766
24.2;0.301856;0.00402057
24.3;0.302355;0.00593039
24.4;0.303037;0.00768768
24.5;0.303886;0.00926641
24.6;0.304883;0.0106443
24.7;0.306008;0.0118033
24.8;0.307236;0.0127293
24.9;0.308545;0.0134127
25;0.309911;0.0138486
25.1;0.311307;0.014036
25.2;0.31271;0.0139785
25.3;0.314095;0.0136837
25.4;0.315439;0.0131631
25.5;0.31672;0.0124316
25.6;0.317919;0.0115075
25.7;0.319016;0.0104117
25.8;0.319996;0.00916761
25.9;0.320845;0.00780035
26;0.321553;0.00633659
26.1;0.32211;0.00480386
26.2;0.322512;0.00323015
26.3;0.322756;0.00164337
26.4;0.322841;7.08859e-05
26.5;0.322772;-0.00146088
26.6;0.322551;-0.00292693
26.7;0.322189;-0.00430403
26.8;0.321694;-0.00557108
26.9;0.321079;-0.00670943
27;0.320357;-0.00770308
27.1;0.319544;-0.00853892
27.2;0.318655;-0.00920688
27.3;0.317708;-0.00970001
27.4;0.316721;-0.0100145
27.5;0.315711;-0.0101497
27.6;0.314697;-0.0101081
27.7;0.313696;-0.00989492
27.8;0.312724;-0.00951846
27.9;0.311797;-0.0089894
28;0.31093;-0.00832083
28.1;0.310137;-0.00752784
28.2;0.309428;-0.00662728
28.3;0.308814;-0.0056374
28.4;0.308303;-0.00457748
28.5;0.307901;-0.00346751
28.6;0.307611;-0.00232781
28.7;0.307435;-0.00117866
28.8;0.307375;-3.9983e-05
28.9;0.307426;0.00106903
29;0.307587;0.00213018
29.1;0.30785;0.00312659
29.2;0.308209;0.00404295
29.3;0.308656;0.00486572
29.4;0.309179;0.00558332
29.5;0.309769;0.00618631
29.6;0.310412;0.00666744
29.7;0.311098;0.00702175
29.8;0.311812;0.00724659
29.9;0.312543;0.00734159
30;0.313276;0.00730863
30.1;0.314;0.0071517
30.2;0.314703;0.0068768
30.3;0.315372;0.00649181
30.4;0.315998;0.00600626
30.5;0.31657;0.00543113
30.6;0.317081;0.00477864
30.7;0.317524;0.00406201
30.8;0.317892;0.00329518
30.9;0.318182;0.00249258
31;0.31839;0.00166886
31.1;0.318515;0.000838628
31.2;0.318558;1.62274e-05
31.3;0.318519;-0.000784525
31.4;0.318402;-0.00155055
31.5;0.318211;-0.00226971
31.6;0.31795;-0.00293097
31.7;0.317627;-0.00352461
31.8;0.317248;-0.00404229
31.9;0.316821;-0.0044772
32;0.316355;-0.00482411
32.1;0.315859;-0.00507944
32.2;0.315342;-0.00524126
32.3;0.314814;-0.00530929
32.4;0.314284;-0.00528484
32.5;0.31376;-0.0051708
32.6;0.313252;-0.00497148
32.7;0.312769;-0.00469255
32.8;0.312316;-0.00434088
32.9;0.311903;-0.00392442
33;0.311533;-0.00345199
33.1;0.311214;-0.00293316
33.2;0.310948;-0.00237803
33.3;0.310739;-0.00179704
33.4;0.310589;-0.00120082
33.5;0.310499;-0.000599973
33.6;0.310469;-4.88335e-06
33.7;0.310497;0.000574426
33.8;0.310583;0.00112847
33.9;0.310722;0.00164845
34;0.310911;0.00212639
34.1;0.311146;0.00255524
34.2;0.31142;0.00292899
34.3;0.311729;0.0032427
34.4;0.312067;0.00349264
34.5;0.312426;0.00367623
34.6;0.3128;0.00379211
34.7;0.313182;0.00384011
34.8;0.313566;0.00382124
34.9;0.313944;0.0037376
35;0.314311;0.00359235
35.1;0.314661;0.00338963
35.2;0.314987;0.00313443
35.3;0.315286;0.00283252
35.4;0.315552;0.0024903
35.5;0.315783;0.00211469
35.6;0.315974;0.00171299
35.7;0.316125;0.00129277
35.8;0.316233;0.000861679
35.9;0.316297;0.000427377
36;0.316318;-2.64106e-06
36.1;0.316297;-0.00042115
36.2;0.316235;-0.000821315
36.3;0.316133;-0.00119679
36.4;0.315996;-0.00154183
36.5;0.315826;-0.00185136
36.6;0.315627;-0.00212103
36.7;0.315404;-0.00234731
36.8;0.315159;-0.00252748
36.9;0.3149;-0.00265969
37;0.314629;-0.00274297
37.1;0.314353;-0.00277719
37.2;0.314075;-0.00276307
37.3;0.313802;-0.00270214
37.4;0.313536;-0.00259668
37.5;0.313284;-0.00244968
37.6;0.313048;-0.00226475
37.7;0.312832;-0.00204606
37.8;0.312639;-0.00179825
37.9;0.312473;-0.00152632
38;0.312335;-0.00123555
38.1;0.312226;-0.00093143
38.2;0.312149;-0.000619499
38.3;0.312103;-0.000305298
38.4;0.312088;5.74411e-06
38.5;0.312103;0.000308396
38.6;0.312149;0.000597709
38.7;0.312222;0.000869097
38.8;0.312322;0.0011184
38.9;0.312445;0.00134194
39;0.312589;0.0015366
39.1;0.312751;0.00169981
39.2;0.312928;0.00182963
39.3;0.313116;0.00192474
39.4;0.313312;0.00198442
39.5;0.313512;0.00200862
39.6;0.313712;0.00199786
39.7;0.31391;0.00195327
39.8;0.314102;0.0018765
39.9;0.314285;0.00176973
40;0.314455;0.00163559
40.1;0.314611;0.00147709
40.2;0.31475;0.0012976
40.3;0.31487;0.00110073
40.4;0.31497;0.00089032
40.5;0.315048;0.000670315
40.6;0.315103;0.000444731
40.7;0.315136;0.000217568
40.8;0.315147;-7.25431e-06
40.9;0.315135;-0.000225959
41;0.315102;-0.000434975
41.1;0.315049;-0.000630993
41.2;0.314976;-0.000811012
41.3;0.314887;-0.000972385
41.4;0.314783;-0.00111285
41.5;0.314665;-0.00123057
41.6;0.314537;-0.00132414
41.7;0.314401;-0.00139261
41.8;0.31426;-0.00143547
41.9;0.314115;-0.00145267
42;0.31397;-0.0014446
42.1;0.313827;-0.00141208
42.2;0.313688;-0.0013563
42.3;0.313556;-0.00127885
42.4;0.313433;-0.00118162
42.5;0.313321;-0.00106679
42.6;0.31322;-0.000936805
42.7;0.313134;-0.000794281
42.8;0.313062;-0.000641987
42.9;0.313006;-0.000482786
43;0.312965;-0.000319582
43.1;0.312942;-0.000155268
43.2;0.312934;7.31766e-06
43.3;0.312943;0.000165444
43.4;0.312967;0.000316529
